Question,Predicted Answer,Actual Answer
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many zebra in image?,0,0
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Is the bottle in the man's right hand?,No,No
Is the man wearing a beanie?,Yes,Yes
What color is the man's beanie?,Black,Orange
What is the color of the wall behind the man?,White,Yellow
What color is the man's shirt?,White,Blue
Is the man's beanie orange?,Yes,Yes
Is the man's shirt blue?,Yes,Yes
Is the background white?,Yes,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bicycle in image?,1,0
How many sheep in image?,0,0
Are there any cup in image?,Yes,No
How many microwave in image?,0,0
What is the dropper's position relative to the hand?,Above,Above
Is the dropper below the hand?,No,No
What is the color of the dropper's top?,Black,Black
Is the top of the dropper black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Are there any book in image?,Yes,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any handbag in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many donut in image?,0,0
How many skis in image?,0,0
How many bottle in image?,1,2
Are there any bottle in image?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many fire hydrant in image?,0,0
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any spoon in image?,Yes,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any train in image?,No,No
Are there any stop sign in image?,No,No
Are there any elephant in image?,No,No
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any knife in image?,Yes,No
Are there any oven in image?,No,No
Where is the glass?,Left,Above
Is the hat on the man's head?,Yes,Yes
What is the color of the hat?,Black,Black
What is the color of the man's shirt?,White,Black
What color is the table?,Brown,Blue
Is the color of the man's hat black?,Yes,Yes
Is the color of the man's shirt black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any motorcycle in image?,Yes,No
Are there any snowboard in image?,No,No
Are there any banana in image?,No,No
Where is the plant relative to the woman?,Left,Left
Where is the sprayer relative to the woman?,Above,Right
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many kite in image?,0,0
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
Are there any refrigerator in image?,No,No
Are there any sheep in image?,No,No
Are there any backpack in image?,No,No
Are there any skis in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
What is the name of the object in the image?,person,bottle
How many orange in image?,0,0
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any elephant in image?,No,No
Are there any cell phone in image?,No,No
Where is the white container being held?,Left,Above
How many cup in image?,1,0
How many hot dog in image?,0,1
Are there any hot dog in image?,No,Yes
What is the name of the object in the image?,person,hot dog
Are there any toaster in image?,No,No
Where is the ampule located relative to the bottle?,Left,Above
Is the vial cap yellow?,Yes,Yes
Are there more than 10 capsules in the image?,Yes,Yes
What colors are the capsules?,Red,Pink
Are the capsules red?,Yes,Yes
Is the vial cap gold?,Yes,Yes
Is the liquid in the ampule clear?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many dining table in image?,1,0
Are there any mouse in image?,No,No
How many hair drier in image?,0,0
How many skis in image?,0,0
Are there any spoon in image?,Yes,No
How many cell phone in image?,1,0
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
What is the name of the object in the image?,person,vase
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many bird in image?,1,0
How many wine glass in image?,1,2
Are there any wine glass in image?,Yes,Yes
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any vase in image?,Yes,No
Are there any hair drier in image?,No,No
Where is the red drink?,Right,Right
Where is the olive bowl?,Right,Left
Is the glass with black wine on the left?,No,No
Is the glass with purple wine on the right?,No,No
What is the color of the wine in the glass held on the left?,Red,Red
What is the color of the table?,Brown,Grey
Are the plates on the table blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any skis in image?,No,No
Are there any baseball glove in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many microwave in image?,0,0
Are there any toothbrush in image?,No,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many parking meter in image?,0,0
Are there any kite in image?,No,No
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
Are there any chair in image?,Yes,No
How many bed in image?,0,0
Are there any mouse in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bus in image?,1,0
How many elephant in image?,0,0
How many refrigerator in image?,0,1
Are there any refrigerator in image?,No,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any parking meter in image?,No,No
Are there any giraffe in image?,No,No
How many person in image?,1,4
Are there any person in image?,Yes,Yes
How many bottle in image?,1,1
Are there any bottle in image?,Yes,Yes
Are there any microwave in image?,No,No
Where is the orange bottle in relation to the green bottle?,Right,Right
Where is the sun in relation to people?,Behind,Above
Is the bottle in the middle being held up?,Yes,Yes
What is the color of the bottle in the middle?,Green,White
What color is the bottle on the left?,Green,Green
What color is the bottle on the second to the left?,Green,Orange
Is the bottle on the right green?,No,No
Is the bottle in the middle clear?,Yes,Yes
Is the bottle in the middle on the right?,Yes,No
How many sheep in image?,0,0
Are there any umbrella in image?,No,No
How many bottle in image?,1,2
Are there any bottle in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many potted plant in image?,1,1
Are there any potted plant in image?,Yes,Yes
How many book in image?,1,2
Are there any book in image?,Yes,Yes
Are there any toothbrush in image?,No,No
Where are the two bowls?,Left,Right
Is the plant between the gravy boat and the mug with a bird?,Yes,Yes
Are the two bowls on the bottom shelf?,Yes,Yes
Are the books on the bottom shelf?,Yes,Yes
What color are the liquid in the jar?,Brown,Brown
What color is the pot the plant is in?,Brown,White
What color is the mug with a bird?,White,White
Is the pot the plant is in white?,Yes,Yes
Is the liquid inside the jar brown?,Yes,Yes
Is the mug with a bird white?,Yes,Yes
How many bicycle in image?,1,0
Are there any zebra in image?,No,No
Are there any kite in image?,No,No
Are there any baseball bat in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many sandwich in image?,0,0
Are there any teddy bear in image?,Yes,No
Where are the shrimps in relation to the pasta?,Below,Above
Are the shrimps on top of the pasta?,Yes,Yes
Is the pasta in the bowl?,Yes,Yes
What color are the shrimps?,Orange,Red
What color is the bowl's rim?,Brown,Blue
What color is the pasta?,Yellow,Yellow
Is the pasta yellow?,Yes,Yes
Are the shrimps red?,Yes,Yes
Is the bowl's rim blue?,Yes,Yes
Are there any frisbee in image?,No,No
Are there any kite in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many scissors in image?,1,0
How many person in image?,1,0
Are there any cup in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any banana in image?,No,No
How many giraffe in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many mouse in image?,0,0
Are there any traffic light in image?,No,No
Are there any parking meter in image?,No,No
How many zebra in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many potted plant in image?,1,1
Are there any potted plant in image?,Yes,Yes
Are there any cow in image?,No,No
How many cup in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any orange in image?,No,No
How many potted plant in image?,1,0
How many oven in image?,0,0
Are there any hair drier in image?,No,No
How many motorcycle in image?,1,0
How many baseball bat in image?,0,0
Are there any cup in image?,Yes,No
How many bowl in image?,1,3
Are there any bowl in image?,Yes,Yes
Is the bowl with black beans on the left of the pot?,No,No
Is one of the rice bowls below the other?,No,No
What color is the handle on the pot?,Brown,Yellow
What color are the beans in the bowl?,Brown,Green
What color are the carrots in the bowl?,Orange,Orange
Is the handle of the pot yellow?,Yes,Yes
Are the beans in the bowl green?,Yes,Yes
Are the carrots in the bowl orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many knife in image?,1,0
Are there any spoon in image?,Yes,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any sandwich in image?,No,No
How many dining table in image?,1,0
What is the location of the bowl relative to the woman?,Below,Front
What is the position of the whisk to the bowl?,Above,Above
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any carrot in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bench in image?,0,0
How many wine glass in image?,1,1
Are there any wine glass in image?,Yes,Yes
How many bowl in image?,1,0
Are there any scissors in image?,Yes,No
Where is the bowl located in relation to the woman's face?,Above,Front
Is the woman's mouth near the fishbowl?,Yes,Yes
Is the fish in the bowl?,Yes,Yes
How many bus in image?,1,0
Are there any bench in image?,No,No
Are there any cat in image?,Yes,No
Are there any frisbee in image?,No,No
How many bowl in image?,1,2
Are there any bowl in image?,Yes,Yes
How many bicycle in image?,1,0
How many giraffe in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many donut in image?,0,0
Are there any cake in image?,No,No
How many potted plant in image?,1,1
Are there any potted plant in image?,Yes,Yes
Are there any remote in image?,No,No
Are there any horse in image?,Yes,No
Are there any zebra in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any remote in image?,No,No
Where is the yellow cone relative to the blue tub?,Left,Left
Where are the toys relative to the tub?,Front,Front
Is the green cone to the left of the blue tub?,No,No
Are there toys on the grass?,Yes,Yes
What color is the tub?,White,Blue
What color is the grass?,Green,Green
What color is the cone?,Orange,Yellow
Is the tub blue?,Yes,Yes
Is the cone yellow?,Yes,Yes
Is the grass green?,Yes,Yes
Are there any wine glass in image?,Yes,No
How many cup in image?,1,2
Are there any cup in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many orange in image?,0,1
Are there any orange in image?,No,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many giraffe in image?,0,0
Are there any frisbee in image?,No,No
How many cup in image?,1,2
Are there any cup in image?,Yes,Yes
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many bowl in image?,1,4
Are there any bowl in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Where is the plate with the baklava?,Left,Right
Are the forks on top of the napkin?,Yes,Yes
Is there baklava in the image?,Yes,Yes
What color is the napkin?,White,Orange
What is the color of the table cloth?,White,White
Is the tablecloth white?,Yes,Yes
Are the forks gold?,Yes,Yes
Is the napkin orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bowl in image?,1,2
Are there any bowl in image?,Yes,Yes
Are there any toilet in image?,No,No
How many dog in image?,1,0
Are there any tennis racket in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Is basil inside the yellow container?,No,No
What is the color of the basil leaves?,Green,Green
What color are the tomatoes?,Red,Red
What color is the container?,White,White
Is the container white?,Yes,Yes
Are the tomatoes red?,Yes,Yes
Are the basil leaves green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many pizza in image?,0,0
Are there any book in image?,Yes,No
What is the position of the bucket in relation to the bowl?,Left,Above
What is the position of the woman relative to the fence?,Front,Front
What is the position of bowl in relation to the woman?,Left,Above
Is the bucket below the bowl?,No,No
Is the bowl below the head of the person?,No,No
How many bus in image?,1,0
How many snowboard in image?,0,0
How many apple in image?,0,1
Are there any apple in image?,No,Yes
How many cake in image?,1,1
Are there any cake in image?,No,Yes
How many sheep in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many tv in image?,0,0
How many scissors in image?,1,0
Is there a glass to the right of the bowl?,No,No
Is there bread in a bowl front the main bowl?,No,No
What color are the tomatoes in the bowl?,Red,Red
What is the color of the sauce in the bowl?,Brown,Brown
What color is the bowl?,White,White
Is the bowl white?,Yes,Yes
Are the tomatoes red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many dog in image?,1,1
Are there any dog in image?,Yes,Yes
How many giraffe in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many person in image?,1,3
Are there any person in image?,Yes,Yes
Are there any car in image?,Yes,No
Are there any stop sign in image?,No,No
Are there any umbrella in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Where is the bowl relative to the noodles?,Left,Above
Where is the frame in the image?,Left,Left
Where is the rolling pin relative to the smiling woman?,Behind,Behind
Is there a rolling pin in the image?,Yes,Yes
Is the pasta on the counter?,Yes,Yes
What is the color of the bowl's inside?,Brown,Red
What is the color of the chef's shirt?,White,Black
What color is the wooden rolling pin?,Brown,Brown
Is the color of the bowl's inside red?,Yes,Yes
Is the color of the chef's shirt black?,Yes,Yes
Is the color of the rolling pin brown?,Yes,Yes
Are there any truck in image?,Yes,No
Are there any backpack in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any remote in image?,No,No
Are there any clock in image?,Yes,No
Are there any hair drier in image?,No,No
Are there any traffic light in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are some marshmallows outside of the bowl?,Yes,Yes
Are some marshmallows in the bowl?,Yes,Yes
Is there a clover marshmallow outside of the bowl?,Yes,Yes
What is the color of the background?,Green,Pink
What color are some of the marshmallows inside the bowl?,Pink,Pink
What is the color of some marshmallows outside of the bowl?,White,Orange
Is the background color pink?,Yes,Yes
Are any marshmallows in the bowl yellow?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bicycle in image?,1,0
Are there any cat in image?,Yes,No
Are there any baseball bat in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many sink in image?,0,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any dog in image?,Yes,No
Are there any bed in image?,No,No
Are there any toaster in image?,No,No
Are there any toothbrush in image?,No,No
How many bowl in image?,1,3
Are there any bowl in image?,Yes,Yes
Are there any broccoli in image?,No,No
Are there any fire hydrant in image?,No,No
Are there any backpack in image?,No,No
Are there any tie in image?,No,No
How many fork in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
How many cell phone in image?,1,0
Are the pineapples in the bowl?,Yes,Yes
Is the bowl on the table?,Yes,Yes
What color are the pieces of pineapple?,Green,Yellow
What color is the bowl?,White,White
What is the color of the surface?,White,White
Is the bowl white?,Yes,Yes
Are the pieces of pineapple yellow?,Yes,Yes
Is the surface white?,Yes,Yes
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many train in image?,1,0
How many cup in image?,1,1
Are there any cup in image?,Yes,Yes
How many knife in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any couch in image?,No,No
Where is the milk being poured?,Above,Above
Is the bowl on the table?,Yes,Yes
Is the hand pouring milk into the bowl?,Yes,Yes
Is the girl sitting in the chair?,Yes,Yes
What color is the milk?,White,White
What color is the bowl?,White,White
What color is the spoon?,Brown,Blue
Is the milk white?,Yes,Yes
Is the bowl white?,Yes,Yes
Is the spoon blue?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are the chopsticks on top of the bowl?,Yes,Yes
Is the bowl on a grey surface?,No,No
What color is the bowl?,White,White
What color are the radishes?,Red,Red
What color is the surface?,White,Blue
Is the bowl white?,Yes,Yes
Are the radishes red?,Yes,Yes
Are the chopsticks yellow?,Yes,Yes
Are there any umbrella in image?,No,No
Are there any skateboard in image?,No,No
How many tennis racket in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are there any apple in image?,No,No
Is the avocado next to the rice?,Yes,Yes
Is the shrimp in the bowl?,Yes,Yes
What color are the carrots?,Orange,Orange
What color is the avocado?,Green,Green
What is the color of the bowl?,White,White
Is the bowl white?,Yes,Yes
Are the carrots orange?,Yes,Yes
How many hot dog in image?,0,0
How many cake in image?,1,1
Are there any cake in image?,No,Yes
What is the name of the object in the image?,person,cake
Where is the pestle?,Above,Left
Are the crackers inside the bowl?,Yes,Yes
Is the pestle next to the bowl?,Yes,Yes
What color is the pesto?,Brown,Green
What color are the crackers?,Brown,Brown
Is the mortar gray?,Yes,Yes
Are the crackers brown?,Yes,Yes
Is the pesto green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any knife in image?,Yes,No
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any keyboard in image?,No,No
Where is the colander relative to the bowl?,Above,Right
Are the peas in the green bowl?,No,No
Is the towel under both the bowl and the colander?,Yes,Yes
What color is the shirt?,White,Green
What color are the beans in the bowl?,Brown,Green
What color is the table?,Brown,Black
Is the table black?,Yes,Yes
Are the beans in the bowl green?,Yes,Yes
Is the colander black?,Yes,Yes
Are there any bus in image?,No,No
How many stop sign in image?,0,0
Are there any parking meter in image?,No,No
How many bowl in image?,1,6
Are there any bowl in image?,Yes,Yes
Where is the cloth relative to the glasses?,Above,Below
Where is the cup in relation to the scissors?,Left,Below
Is the tall cup between two bowls?,Yes,Yes
Are the scissors on the fur rug?,Yes,Yes
Are the glasses on the grass?,Yes,Yes
What color are the bowls?,White,Blue
What is the color of the fur?,White,Brown
What color are the scissors?,Black,Black
Are the bowls blue?,Yes,Yes
Are the scissors dark?,Yes,Yes
Is the cloth grey?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any baseball bat in image?,No,No
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
How many cake in image?,1,1
Are there any cake in image?,No,Yes
How many teddy bear in image?,1,0
Where is the bowl relative to the woman's torso?,Front,Front
Where is the woman's visor located?,Above,Above
Is the spoon inside the bowl?,Yes,Yes
Is the bowl in behind of the person?,No,No
Is the watch on the person's arm?,Yes,Yes
What is the color of the dress?,White,Black
What color are the raspberries?,Red,Red
What is the color of the watch?,Black,Blue
Is the dress black?,Yes,Yes
Are the raspberries red?,Yes,Yes
Is the background green?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many dog in image?,1,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Are there any bed in image?,No,No
Where is water tap?,Above,Above
Where are the berries relative to the drain?,Above,Above
Is the faucet below the bowl?,No,No
Are the berries inside the bowl?,Yes,Yes
What color are the strawberries?,Red,Red
What color are the blackberries?,Black,Black
Are the blackberries black?,Yes,Yes
Are the strawberries red?,Yes,Yes
Is the sink white?,Yes,No
Are there any stop sign in image?,No,No
How many bowl in image?,1,2
Are there any bowl in image?,Yes,Yes
Where is the olive jar relative to the grapes bowl?,Left,Right
Is there a lime below the olives?,No,No
Are the two peppers above the cheeses?,No,No
What color are the grapes?,Green,Green
What is the color of the peppers?,Red,Green
What is the color of the lime?,Green,Green
Is the lime green?,Yes,Yes
Are the peppers green?,Yes,Yes
Are the grapes green?,Yes,Yes
Are there any bird in image?,Yes,No
Are there any frisbee in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Where is the smoking lantern?,Right,Left
Where is the ceremonial object with a cone shaped hat?,Right,Right
Is the candleholder on the right side of the image?,No,No
Is the window on the right side of the image?,No,No
What color is the flame?,Orange,Orange
What color is the wooden surface?,Brown,Brown
Is the flame orange?,Yes,Yes
Are the candle holders silver?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many train in image?,1,0
How many umbrella in image?,0,0
Are there any couch in image?,No,No
Are there any keyboard in image?,No,No
Where are the strawberries in relation to the coconut flakes?,Below,Above
Where are the hands holding the bowl?,Above,Front
Are the strawberries on top of the granola?,Yes,Yes
Are the blueberries above the coconut flakes?,No,No
What is the color of the fruit on top?,Red,Red
Is there any black color in the fruit?,No,No
Is the bowl blue?,Yes,Yes
Is the sky blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any zebra in image?,No,No
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Where is the ladder in the picture?,Left,Behind
Where is the woman holding the clay?,Right,Above
Are the bowls on the table?,Yes,Yes
What color is the ladder?,Brown,Brown
What color is the woman's hair?,Red,Red
What color are the curtains?,White,White
Is the ladder brown?,Yes,Yes
Is the woman's hair orange?,Yes,Yes
Are the curtains white?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
Are there any book in image?,Yes,No
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
What is the position of the chips bowl?,Left,Right
What is the position of the glass compared to the plate?,Above,Left
Is the bowl on a mat?,Yes,Yes
What color is the liquid in the glass?,Red,Green
What color are the chips in the bowl?,Yellow,Yellow
What color is the bowl?,White,Black
Is the bowl black?,Yes,Yes
Is the liquid in the glass green?,Yes,Yes
Are the chips in the bowl yellow?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any skis in image?,No,No
Where is the bowl in relation to the monk's hand?,Above,Below
Where is the water in relation to the monk?,Behind,Behind
Is the bowl in behind of the monk?,No,No
Is the monk sitting next to the water?,Yes,Yes
What is the color of the robe?,White,Red
What color is the bowl?,White,Brown
What color is the water?,Blue,Blue
Is the robe red?,Yes,Yes
Is the bowl gold?,Yes,Yes
Is the water blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many fork in image?,1,0
Where is the white pumpkin relative to the bowl?,Left,Behind
Where is the bowl relative to the linen?,Below,Above
Is the red pumpkin behind the spoon?,No,No
Is the spoon inside the bowl?,Yes,Yes
What color is the pumpkin on the left?,Orange,Green
What is the color of the pumpkin in the middle?,Orange,White
What is the color of the soup in the bowl?,Yellow,Orange
Is the pumpkin on the right green?,No,No
Is the soup orange?,Yes,Yes
Does the spoon have a golden color?,Yes,Yes
How many parking meter in image?,0,0
How many suitcase in image?,0,0
Are there any suitcase in image?,No,No
Are there any fork in image?,Yes,No
How many donut in image?,0,0
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
What is the name of the object in the image?,person,vase
Is the top of the cup in the image?,Yes,Yes
What is the color of the inside of the wooden object?,Brown,Brown
What is the color of the background?,Green,Black
What is the color of the object?,Black,Brown
Is the wooden object's color in the range of brown?,Yes,Yes
Is the background color black?,Yes,Yes
How many car in image?,1,0
How many fire hydrant in image?,0,0
How many suitcase in image?,0,0
How many cup in image?,1,0
How many apple in image?,0,1
Are there any apple in image?,No,Yes
What is the name of the object in the image?,person,apple
Are the apples in a bowl?,Yes,Yes
Is the bowl on a windowsill?,Yes,Yes
Is the brown cloth to the right of the bowl?,No,No
What color is the cloth at the bottom?,Blue,Green
What colors are the apples?,Red,Red
Is the cloth at the bottom green?,Yes,Yes
Are the curtains black?,Yes,Yes
Is the bowl white?,Yes,Yes
How many clock in image?,1,1
Are there any clock in image?,Yes,Yes
What is the name of the object in the image?,person,clock
Where are the green leaves located relative to the bowl?,Above,Below
Is the pod outside the wooden bowl?,Yes,Yes
What color is the wooden bowl?,Brown,Brown
What color are the leaves?,Green,Green
What color are the red flowers?,Red,Red
Is the bowl brown?,Yes,Yes
Are the leaves green?,Yes,Yes
Are there any yellow colors in the image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any dog in image?,Yes,No
Are there any snowboard in image?,No,No
Is the person on the skateboard?,Yes,Yes
Is the skateboard near the bottom of the picture?,Yes,Yes
What color is the skateboard wheels?,Black,Black
What color is the person's shirt?,White,White
Is the man wearing a yellow shirt?,No,No
Is the skateboard gray?,Yes,Yes
Is the sky light?,Yes,Yes
How many donut in image?,0,1
Are there any donut in image?,No,Yes
What is the name of the object in the image?,person,donut
How many toaster in image?,0,0
Is the stick partially inside the bowl?,Yes,Yes
Is the bowl on a surface?,Yes,Yes
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many spoon in image?,1,1
Are there any spoon in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
How many broccoli in image?,0,1
Are there any broccoli in image?,No,Yes
How many dining table in image?,1,1
Are there any dining table in image?,Yes,Yes
Are there any laptop in image?,No,No
Are there any refrigerator in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
Where is the red bowl relative to the glass bowl?,Left,Above
Where is the avocado half relative to the bowl?,Above,Below
Where is the lime slice relative to the bowl?,Above,Right
Is the small pink bowl with hearts above the glass bowl?,No,No
What color is the small bowl?,White,Red
What color is the red placemat?,Red,Red
What color is the spatula?,Black,Red
Is the bowl red?,Yes,Yes
Is the spatula red?,Yes,Yes
Is the placemat red?,Yes,Yes
How many person in image?,1,3
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,0
How many bottle in image?,1,2
Are there any bottle in image?,Yes,Yes
How many fork in image?,1,1
Are there any fork in image?,Yes,Yes
How many bowl in image?,1,5
Are there any bowl in image?,Yes,Yes
How many chair in image?,1,3
Are there any chair in image?,Yes,Yes
Is the clear bowl below the red bowl?,No,No
Is the bread on the white tray?,No,No
What is the color of the flowers?,Yellow,Yellow
What color is the shirt?,White,Blue
What color is the tablecloth?,White,Yellow
Is the color of the flower yellow?,Yes,Yes
Is the color of the table cloth green?,Yes,Yes
Is the plate color green?,Yes,Yes
How many horse in image?,1,0
Are there any cow in image?,No,No
How many zebra in image?,0,0
How many frisbee in image?,0,0
How many bowl in image?,1,1
Are there any bowl in image?,Yes,Yes
What is the name of the object in the image?,person,bowl
Are the olives in the bowl?,Yes,Yes
What color are the olives?,Green,Green
What is the color of the small peppers?,Red,Red
What is the color of the bowl?,White,Brown
Is the color of the olives green?,Yes,Yes
Are the small peppers red?,Yes,Yes
Is the bowl brown?,Yes,Yes
How many vase in image?,1,1
Are there any vase in image?,Yes,Yes
What is the name of the object in the image?,person,vase
What is the position of the vase relative to the bowl?,Left,Behind
What is the position of the bowl?,Left,Right
What is the color of the vase?,White,Black
What is the color of the bowl's rim?,Blue,Black
What is the color of the bowl's inside?,Brown,White
Is the vase black?,Yes,Yes
Is the outside of the bowl black?,Yes,Yes
Is the inside of the bowl white?,Yes,Yes
Are there any train in image?,No,No
How many umbrella in image?,0,1
Are there any umbrella in image?,No,Yes
How many cake in image?,1,1
Are there any cake in image?,No,Yes
Where is the bread relative to the honey?,Below,Above
Where is the vase relative to the bread?,Left,Behind
